BE0075,R-CORREA TPO R18(2.0)/FGO(D.R)
RE1586,R-BASE MOT DER LAG
RE1587,R-C.BIELA 0.40 R19(1.7/1.8)
RE1588,R-CIL.PTA DER R21/CLIO 1.
RE1589,R-CIL.PTA IZQ R21/CLIO 1.
RE1590,R-B.GAS R21(iNy)
RE1595,R-BENDIX R11/R19E/GALA(9d)
RE1598,R-AMORT TRAS R5/R11/GALA
RE1600,R-PROTECTOR CARTER R12
RE1602,R-ESPEJO RETROV DER CL(98-01)(maNual)
RE1604,R-TEE DESF R21
RE1605,.R-VARILLA SEL.CAMB. R12
RE1606,R-BASE AMORT DEL R11/GALA
RE1607,R-ESPEJO RETROV IZQ CL(98-01)(maNual)
RE1611,R-E.CAMARA SYM1/LOG/KG(1.4)/SAND
RE1612,R-AUT ARRANQ R21/R11/MG/SC2(1.6)(bosch)
RE1613,R-TAPA DIST R19E/CL98(coN rotor)
RE1614,R-C.BANCO 0.40 MG1/CL2/SYM/LOG/SAND
RE1615,R-TAPA FRAS. AGUA. CLIO2,TW
RE1616,R-FARO DEL.DER SC1
RE1618,R-MANGUERA RAD SUP LOG
RE1620,BOCINA CIGUENAL.R/5,R/12,BREK-1.4,CORCEL
RE1623,R-ESTOPERA DER TRIPODE R/19
RE1625,R-GOMA TRIP L/C IZQ MG1/LAG/SC2/KG(1.6)
RE1627,R-SOPORTE G/CLOCHE R21 ORIG
RE1632,R-GUIA VALV ESC CL1/R19E(X4)
RE1635,.R-BENDIX  BRONCO 10/DTES.
RE1638,R-FARO DEL.IZQ SC1
RE1645,R-KIT GOMA TRIP. MG1/SYM/CL2/KG L/C DER
RE1646,R-AMORT DEL KG(02-09)
RE1647,.R-VALVULA P/ACEITE. LOGAN
RE1652,R-INDUCIDO ARRANQ MG2
RE1654,R-BALANCIN R5/R11/GALA/R12 (JGO)
RE1657,R-G/BARRO POST.DEL.DER MG1
RE1658,.R-BUJE CANASTILLA SEL.CAMBIO.R/11,R/19.
RE1668,R-BASE MOT IZQ TW 1 1.1
RE1669,R-CABLE BUJIAS R5/R12/R18(1.6)
RE1670,R-PISTONES STD GALA
RE1672,R-FARO DEL.DER R19 F1
RE1678,HORQUILLA ARRANQUE.(VALEO) 19-ENERG,TW,M
RE1682,"R-EMBLEMA MALETA ""CLIO"""
RE1685,R-PALANCA LUCES TW(Negra)
RE1687,R-G/POLVO CAJA DIR R5/R12/R18(1.6)(mec)
RE1690,.R-TENSOR C/TPO. R19-1700>97
RE1695,.R-CIRCUITO IMPRESO STOP DER. FUEGO
RE1698,R-TENSOR DINAM. C/UNICA MG2
RE1700,.R-KIT PAL CAMB R18/FGO/R21
RE1706,R-MOZZO DEL R19/CL98/CL2/SYM2/MG1/SC2/LO
RE1710,R-POLEA CIG. (muestra)
RE1711,R-G/FRE. MANO KG
RE1712,R-ESTOPERA LEVA INT R18-2000/21/19-EN
RE1715,R-G/BARRO POST.DEL.DER SC2
RE1718,.R-E.VENT LOG/SYM/MG1 (C/RESIST COMPLETO
RE1722,.R-ROTOR DIST
RE1725,.R-AMORT.TRAS R5/R11/GALA
RE1727,"R-EMBLEMA MALETA ""RENAULT""  T.T"
RE1728,R-SINFIN CAJA DIREC. R11 (C/ROLIN)
RE1730,R-TAPA TERMOST R18(2.0/FGO(superior)
RE1731,R-BASE MOT DER MG1/SC2
RE1737,R-MANILLA PTA.EXT.IZQ TW
RE1738,R-G/CLOCHE R5
RE1739,R-MANILLA A/V R11/R19/R21/CL/TW/SYM(Negr
RE1745,R-ESTOPERA 28X42X5
RE1750,R-CORREA MULT R19E
RE1751,"R-EMBLEMA ""MEGANE"" (pequeNo)"
RE1755,.R-CORREA MULT SCENIC 1 M-2.0  00/05.
RE1758,R-V.ESC.(JG8) MG1/SYM2/CL2/SC2(1.6)/KG(1
RE176,R-FARO DEL.IZQ TW2(vidrio)
RE1764,R-BASE CAJA CENTRAL SC1
RE1768,R-BASE AMORT DEL CL/SYM/TW/KG(pequeNa)
RE1769,R-BASE AMORT DEL MG2
RE1770,R-AMORT TRAS R19
RE1771,R-FARO DEL.DER SYM2/CL2(04+)(Negro)
RE1775,R-ESTOPERA 22X45X7
RE1778,R-ESTOPERA 32X44X6
RE1780,R-CAMPO.ARRANQ.(P-RHONE)R./5
RE1782,R-E.VENT R21(2 MOT.C/BASE)
RE1784,R-C.BANCO 0.40 R19(1.7/1.8)
RE1786,.R-E.VENT MG1/SYM/SC/CL2/LOG C/BASE
RE1787,R-PARACHOQ. DEL SC2
RE1789,R-ESPEJO RETROV IZQ TW(maNual)
RE1798,.R-GOMA VALV (JGOX8) TW 2 .8/V(4995)
RE1799,R-LLAVE CRUZ. T/RENAULT
RE1800,R-PROTECTOR CERRAD.PTA R11
RE1801,R-GOMA TRIP L/R MG1(aut)
RE1805,.R-ESPEJO RETROV IZQ R12.
RE1810,R-E.MOT R18(2.0)/FGO/R21
RE1811,R-BOBINA ENC MG/SYM2/CL2/SC2(1.6)/KG(1.6
RE1812,R-BUJE BRAZO TENS.DIR R21
RE1816,R-FLAUTA MOTOR MG1/SYM2/CL2/SC2(1.6)/KG(
RE1817,R-VALVULA DIR.HID. MG1/CL2/SYM/KG/LOG
RE1818,R-KIT EMB R11/R19E/CL1/TW
RE1819,R-CORREA MULT MG1/SYM/KG(1.6)/CL2/SC2(1.
RE1823,R-G/VELOC R12
RE1825,R-BUJIAS R18(2.0)/FGO/R21
RE1826,.R-PLATINA PTA.DEL.IZQ R19-E
RE1828,R-KIT SEL R11/19/TW/MG/CL/KG/SC/SYM
RE1829,R-FARO DEL.IZQ MG1(2 bombillos)
RE183,R-B.GAS ELECT (pila)
RE1830,R-TAPA DIST R19(1.7)
RE1831,.R-TERMINAL DER. SYM/MG1/TW/SC2/CL2/KG
RE1832,.R-TERMINAL IZQ. SYM/MG1/SC2/CL2/TW/KG
RE1837,R-ESTOPERA EJE MANDO R/12,18-1600/2000
RE1838,R-TAPA FRAS. AGUA. (carros Nuevos)(Negra
RE1839,R-AMORT TRAS SYM/CL2
RE1844,R-ARTIC.AXIAL MG1/SYM/CL2/SC2/KG
RE1850,R-CORREA MULT A/A TW 1.
RE1851,.R-HORQUILLA ARRANQ R11 T/BOSCH
RE1852,R-ARRANQUE TW2
RE1853,R-KIT TERMINAL DIR/DER. CLIO 98/01.
RE1854,R-TAPA RETROV.DER. MEG/SCEN (NEGRO)
RE1855,R-AMORT MALETA SC
RE1859,R-ANTENA TECHO. R21/19/FGO/CL/MG/SC/SYM/
RE1860,R-ARRANQUE R11/R19(BRONCO)
RE1861,R-DIODO A/A T/RENAULT
RE1873,R-PISTONES STD R11/R18(1.4)
RE1874,R-BENDIX R19(1.7)
RE1875,R-PISTONES R19-E/CL/SYMB/KANG
RE1876,".R-B.FRENO TWINGO TODOS ""METELLI"""
RE1879,R-PASADOR MES.INF R12/R18(1.6)
RE1881,.R-B.DIR/HIDRA CL1,CL2,KG 16.V,.(3/torNi
RE1883,R-ROL AMORT DEL CL1/TW/SYM/LOG/SAND
RE1885,R-ESTOPERA DIST R21 PEQ
RE1887,R-TRICETA TRIP LOG
RE1888,R-TAPA TERMOST CL1
RE1890,R-GOMA TRIP L/C IZQ LOG(c/rol)
RE1891,R-ESPEJO RETROV DER TW(maNual)
RE1892,R-CORREA A/A TW2
RE1893,R-B.FRENO LOG(c/abs)
RE1894,R-B.FRENO LOG(s/abs)
RE1895,R-CAPO DEL R19 F1
RE1896,R-PISTONES 0.50 TW2 16V
RE1897,R-BUJE CAJA DIREC. R11
RE1898,R-PLATO CLO. R18(2.0)/FGO/R21
RE190,R-V.ESC.(JG8) MG2/LAG/SC2(2.0)
RE1900,.R-PLATO CLO. (MAPA) SYM/CL2/LOG/SAND/KG
RE1901,R-KIT EMB SYM/CL2/LOG/SAND/KG(bajo)
RE1902,R-KIT EMB R5(1.3)/R12(br)/R18(br)
RE1903,R-CAMPO.ARRANQ.(P/RH)R/18-2000,FUEGO
RE1904,R-PALANCA L.P.B MG1(Negro)
RE1905,R-TAPA ACEITE CL1/R19E/TW2
RE1906,R-PALANCA L.P.B CL2
RE1907,R-KIT EMB R11/R19E/CL1/TW
RE1908,R-DISCO EMB R18(2.0)/FGO/R21
RE1909,R-DISCO EMB R19(1.7/1.8)/GALA
RE1910,R-ESTOPERA 80X100X8
RE1911,R-ESPIRAL DEL TW
RE1913,R-B.GAS ELECT (pila)
RE1914,R-BASE CAJA CENTRAL LOG/SAND
RE1915,R-VENDER 59-8568
RE1916,R-TAPA FARO.NEB.PARACHOQ.DEL.KG(+10)(exp
RE1917,R-DISCO FRE TRAS SC2(c/rol)
RE1918,R-ESPEJO RETROV IZQ R21(elect)
RE1919,R-ESPEJO RETROV DER R21(elect)
RE192,R-V.ADM.(JG8) MG2/LAG/SC2(2.0)
RE1920,R-GOMA B/ESTAB PUNTA R21
RE1921,.R-PALANCA LUCES. CL2/SYMB 99-> (G) C/AN
RE1922,R-E.CAMARA R19(1.8)/SC1
RE1929,R-STOP DER MG2(+07)(siN maleta)
RE193,R-ESTOPERA CIG DEL R19-E/CLIO
RE1930,R-STOP IZQ LOG(06)(cocuyo amarillo)
RE1931,R-STOP DER LOG(06)(cocuyo amarillo)
RE1932,R-STOP IZQ SYM(mica amarilla)
RE1936,R-VENDER 59-583
RE1937,R-GOMA TRIP L/R R11/R19/R18/CL/TW/SYM
RE1938,R-GOMA TRIP L/R R11/R19/R18/CL/TW/SYM
RE1939,R-GOMA TRIP L/C DER R11/R19/R18(eje fiNo
RE1940,R-FARO PLACA R18/GALA
RE1946,R-ESPIRAL DEL CL1
RE1947,R-CABLE BUJIAS TW2 8V
RE1952,R-KIT TERMINAL DIR/IZQ. CLIO 98/01
RE1954,.R-V.ESC.(JG4) R18-2000/FGO/R21
RE1956,R-CARCAZAS TRIP. R12
RE1957,R-MANGUERA FR CL1/TW
RE1960,R-PINON LEVA R19E/CL1/TW2(8V)/SYM1/LOG
RE1965,.R-MANGUERA RAD.INF. MG1(SINC)/SCE
RE1967,R-AMORT DEL R18(2.0)/FGO
RE1968,R-B.ACEITE R11/TW1
RE1970,.R-CORREA TPO MG1/CL 2/SYM 2/S DAY (132D
RE1972,.R-CUNA MORDAZA R18-2000/R21
RE1973,R-CORREA ALT TW(98-99)
RE1978,R-AMORT DEL TW2 16V
RE198,R-FARO DEL.DER TW2(vidrio)
RE1984,.R-B.DIR/HIDRA LOGAN
RE1985,R-ANILLO 0.25 MG1/CL2/SYM2/SC2(1.6)
RE1986,R-JGO ESTOPERA TAPA VALV TW2 16V
RE1987,R-PAST.FRE.TRAS MG2/SC2
RE1989,.R-LAPIZ B.ACEITE R18-2000 (CORTO)
RE1991,R-AMORT DEL TW2 8V
RE1997,.R-LAPIZ.SEL.CAMB R11/19/21/CL/TW/MG
RE1999,R-BASE MET.GUAYA CLOCHE R18(2.0)
RE200,R-F.AIRE R19(1.7)/SC1
RE2000,R-PUNTERA PARACHOQ. DEL.DER R18
RE2001,R-POLEA TENS. A/AC TW2(todos)(multipuNto
RE2002,R-CORREA MULT MG1/SYM/KG(1.6)/CL2/SC2(1.
RE2003,R-ARTIC.AXIAL. MG2
RE2004,R-FRONTAL INT. TW2(calaNdria)
RE2005,R-GOMA CAJA DIR R11/GALA (MEC)
RE2006,R-FARO NEBLINA IZQ SYM2/CL(+05)/KG
RE2007,R-BOMBILLO H1
RE2008,.R-BOMBILLO FARO. CLIO 02-03
RE2009,R-FARO NEBLINA DER SYM2/CL(+05)/KG
RE201,.R-GOMA B/ESTAB LOGAN (PUNTA)
RE2010,.R-E.CAJA VELOC R12
RE2011,.R-CORREA ALT CLIO/R19-1400-ENERG 97
RE2012,R-PATA SEG.PUERTA (IZQ-DER) R12 ARG74
RE2013,R-G/FANGO. DEL.DER LOGAN
RE2014,R-POLEA TENS. CORREA  R5-1300
RE2015,R-CAPO DEL LOG (detalle)
RE2016,R-VALVULA P/ACEITE R5/R12/R18/FGO
RE2017,.R-VALVULA MINIMO (I.A.C) R19
RE2018,R-COLECTOR GASES R18(2.0)/FGO(L)
RE2019,R-CAPO DEL SYM2/CL(+05)
RE2020,.R-E.MOT TW-16 V. D4F708. COMPLETO
RE2021,R-BIELETA CARB.CORTA.R/12/18.
RE2023,R-G/ACEL. R18(2.0)/FGO
RE2025,R-FARO NEBLINA MG2/LOG/SAND
RE2026,R-ROL TRIP IZQ MG2(aut)
RE2027,R-FARO DEL.IZQ KG(+08)(mica blaNca)
RE2030,R-TERMOSTATO R5/R11/R12/R18/R21/TW1
RE2031,R-MANILLA A/V CORCEL.
RE2032,.R-MANGUERA RAD. MG1/SCE (SINC)
RE2033,R-VARILLA ACEITE R5
RE2034,R-VARILLA ACEITE R12
RE2035,R-VARILLA ACEITE R18(2.0)/FGO/R21
RE2036,R-GRADUADOR FARO IZQ.PARTE DER R5
RE2037,R-GRADUADOR FARO IZQ.PARTE IZQ R5
RE2038,R-PALANCA REG.FARO IZQ R5
RE2039,.R-KIT PAL CAMB R5
RE204,R-GUIA VALV R18(1.6/2.0)/FGO/R21/R30(X8)
RE2040,R-ANILLO 0.50 R19(1.8)
RE2041,R-ANILLO 0.75 R19(1.8)
RE2042,R-BOBINA ENC MG/SYM2/CL2/SC2(1.6)/KG(1.6
RE2043,R-KIT SEL R11/19/TW/MG/CL/KG/SC/SYM
RE2044,R-KIT GOMA TRIP. L/C R19 DER
RE2045,R-ESTOPERA CAJA DIR.HID. R18
RE2047,R-C.BIELA 0.20 R19(1.7/1.8)
RE2048,R-KIT GOMA TRIP. L/C R19-1400/CLIO
RE2050,R-PLATINA PTA.TRAS.IZQ R19
RE2051,R-CARDAN DIR R11
RE2053,R-MANGUERA RAD INF R21
RE2054,R-KIT EMB MG1/SC2(1.6)(alto)
RE2055,.R-E.VENT MG/SYM/SC/CL2/KG/LOG GATES C/B
RE2056,R-VARILLA CONT CAMB R21
RE2057,R-BASE MOT IZQ TW2
RE206,R-FLOTADOR GAS FGO
RE2060,R-TAPA DIST R21
RE2063,.R-E.VENT  MG 2. 1.6 GATES C/BASE
RE2064,R-BASE MOT DER TW2 8V
RE2065,R-BASE MOT IZQ CL1/CL2(aut)/SYM2(aut)
RE2067,R-BASE MOT IZQ LOG/SAND/MG2
RE2068,R-V.ADM.(JG4) TW2 8V
RE2073,.R-BASE CAJA CENTRAL TW2
RE2077,R-PALANCA LUCES TW(gris)
RE2079,R-CORREA TPO SC1
RE2080,R-V.ADM. R12
RE2082,.R-B.FRENO SCENIC 1,(metelli)
RE2085,R-ESTOPERA 70X86X7
RE2086,R-CORREA A/A TW(98-99)
RE2087,R-MANGUERA DIR.HID GALA
RE209,R-KIT CORREA MULT MG1/SYM/CL2/SC2(1.6)/L
RE2090,R-KIT BORNES (POS-NEG) 11.18.19
RE2094,R-ESTOPERA LEVA R18/FGO/SY/CIG 19 CORTEC
RE2095,R-MOTOR RALENTI R19E
RE2098,"R-EMBLEMA MALETA CLIO2 ""CLIO"""
RE2101,.R-REGUL. ALT. MG/SYM/KGOO (BOSCH)
RE2102,.R-B.GAS. R/11,GALA
RE2105,R-E.CAJA VEL.SINC. R/11,CL,TW. (1498)
RE211,R-CABLE BUJIAS R21
RE2111,R-MANGUERA DESF.CARB R11-1600.
RE2112,R-MANGUERA DESF.CARB R11
RE2113,R-MANGUERA DESF.CARB R11 (corrieNte)
RE2114,R-MANGUERA DESF. R11/R21
RE2116,.R-MANGUERA RAD.INF. SYM2
RE2117,.R-TRIPOIDE DER. R19-1700.
RE2118,R-BASE BOMBA AGUA R/18-1600
RE2119,.R-TRIPOIDE DER. CL2 (C/ABS)
RE2120,.R-TRIPOIDE IZQ. CL2 (C/ABS)
RE2122,.R-TRIPOIDE DER. CL2/SYMB (S/ABS)
RE2124,R-MANGUERA REFRIG. R21
RE2125,R-MANGUERA RAD (muestra)
RE2130,.R-TRIPOIDE IZQ. CL2/SYMB (S/ABS)
RE2134,R-KIT CAD.B.ACEITE CLIO 93/96 (20 PAS
RE2135,R-B.AGUA R12(siN base)
RE2137,R-BOBINA ENC SYM1/LOG/SAND/KG(1.4)/TW2 8
RE2138,.R-CABLE AVION CORTO.CLIO 92 (2/coNt)
RE2139,R-MANILLA BUTACA TW(azul)
RE214,R-HORQUILLA ARRANQ TW
RE2142,R-BUJE DE BASE IZQ TW.(solo p.reparar)
RE2143,.R-STOP IZQ. R19-E 2000 (FUME)
RE2144,.R-E.MULT ESC SYMB
RE2148,R-CERRAD.CAPO R11/GALA
RE2151,R-ANTIRRUIDO CALIPER R21
RE2152,R-KIT ROLIN.PTE.TRAS CL1
RE2154,.R-BASE CARBUR.WEBER./R/18-2000
RE2156,R-FARO DEL.DER LOG(+08)
RE2158,R-E.CAMARA R5(1.3)/R12
RE2159,R-PINON B.ACEITE.CIG SYM1/LOG/SAND/KG(1.
RE2162,R-BUJE CUNA. MOT R19/MG1
RE2163,R-PLATINA PTA.TRAS.IZQ SYMB/CL2
RE2171,R-CAPO DEL R21(carb)
RE2174,R-COCUYO LAT G/FANGO (blaNco)
RE2175,R-COCUYO LAT G/FANGO (amarillo)
RE2178,R-CIL FR SYM/CL2
RE2181,R-STOP DER MG2(-06)(siN maleta)
RE2183,R-B.ACEITE LOG
RE2185,R-TAPA DIST GALA
RE2190,R-MECANISMO A/V DEL.IZQ CLIO 1
RE2191,R-KIT EMB R18(2.0)/FGO/R21
RE2192,R-KIT EMB R11/R19E/CL1/TW
RE2200,R-JGO.REPARACION SERVOFRENO.R/18/FUEGO/E
RE2201,R-E.MULT ADM TW2 8V(X2)
RE2205,R-KIT DIST. TW2 16V
RE2207,R-ASPA VENT TW1 (H/RED)
RE2210,R-PINON CIG. CL1/R19E/SYM1/LOG
RE2215,R-BASE AMORT DEL DER LAG
RE2216,R-CIL.PTA R11/GAL/R18-TODOS
RE2217,.R-CIRCUITO STOP.DER. SYMBOL
RE2218,.R-CIRCUITO STOP.IZQ. SYMBOL
RE2219,R-PAST.FRE.DEL KANGOO 01/05
RE2220,.R-GUIA VALV R18-2000
RE2221,.R-CARBONES ARRANQ R11/R21 T/F(4)
RE2222,R-ROL TRAS KG(1.4)
RE2224,.R-CORNETA .TONO BAJO 2/TERMINALES
RE2225,.R-BENDIX. BRONCO FIAT,RENAUL
RE2227,R-EMBLEMA PLATINA IZQ 16V CLIO/SYMB
RE2228,R-EMBLEMA PLATINA DER 16V CLIO/SYMB.
RE2232,R-TAPA FRAS. RENAULT (TODOS) MARRON
RE2234,R-CORREA TPO R19E/CL1
RE2246,R-MANGUERA CALEF SC2(1.6)
RE2247,R-C.BIELA 0.30 R19(1.7/1.8)
RE2249,R-ESPEJO RETROV DER SC2(elect)
RE2250,.R-TAPA DIST. R5/12/DAC/R18 (GANC-T/DUC)
RE2251,.R-KIT DIST. MG2 (2/TENS,126D) (TIMKEN)
RE2253,R-MESA DER. R19/MG1/SC/KG(08)
RE2254,R-MESA IZQ. R19/MG1/SC/KG(08)
RE2255,R-FARO DEL.DER MG1(1 bombillo)
RE2256,R-BASE MOT DER SC1
RE2258,R-KIT DIST. MG2.
RE2259,R-BUJE ARR R/18(2.0)/FGO P/RHONE
RE2261,R-AMORT DEL CL2/SYM2 (copa alta)
RE2262,R-EMBLEMA MALETA SYMBOL(rombo)
RE2263,R-EMBLEMA CL/SYMB/LOGAN S/BASE
RE2264,R-EMBLEMA CL/SYMB/LOGAN C/BASE
RE2265,R-EMBLEMA FRONT GALA
RE2269,R-KIT EMB SYM/CL2/LOG/SAND/KG(bajo)
RE2275,R-MESA INF.IZQ. SYM/CL2/KG(1.4)
RE2277,R-GRADUAC.FRE.IZQ R19 INY/MG/SYM
RE2278,R-FRASCO AUX AGUA TWINGO
RE2281,.R-E.MULT ESC R19-E/CL1/SY 1400/KG/ME
RE2282,R-E.MULT ADM R19E/CL1
RE2284,R-ESTOPERA 27.95X56X10
RE2289,R-MANGUERA TANQUE GASOLINA R11
RE2291,R-FRASCO AGUA TW2 8V
RE2294,R-ESTOPERA LEVA DEL R18-2000/R21/R19
RE2296,R-CIL FR DER R18(1.6)/GALA/TW1
RE2298,R-KIT EMB R19(1.7/1.8)/GALA
RE2300,R-KIT CAJA AUT DP0
RE2304,R-PANTALLA FARO DER TW1
RE2307,R-ESTOPERA CIG DEL LAGUNA/SCENIC-2000
RE2308,R-R-TUBO PAS.MESET.INF.R11(corto)
RE2310,R-B.FRENO R5(1.3)/R18(1.6)/R12(doble)
RE2311,R-COCUYO LAT G/FANGO DER MG2
RE2312,R-BIELETA SUSPENCION.R/19/CLIO
RE2313,R-STOP IZQ TW2
RE2314,.R-KIT PAL/CAMB R5 87--> E/GRUESO
RE2315,R-TRINQUETE PTA.DEL/TRAS.IZQ R5
RE2317,R-CORREA TPO SC2(2.0)/LAG
RE2318,R-MECANISMO A/V TRAS.IZQ SYM/CL2(elect)
RE2319,R-CIL.PULSAD MALETA SYM/TW/LOG
RE2320,R-G/BARRO IZQ R11
RE2321,R-TRINQUETE PTA.DEL/TRAS.DER R5
RE2322,R-FARO DEL.DER FGO
RE2323,R-BASE AMORT DEL LOG/SAND(graNde)
RE2325,R-ARBOL LEVAS R12 1300
RE2326,R-KIT SEL (muestra)
RE2328,R-STOP DER MG2(-06)(sedaN)
RE2329,R-STOP IZQ MG2(-06)(sedaN)
RE2335,R-COCUYO LAT G/FANGO IZQ MG2
RE2336,.R-STOP DER. SYM 2001> (M/NVO)
RE2344,R-F.AIRE CL1/R19E
RE2348,.R-F.GAS TW2
RE2349,R-BOTELLA.AGUA.R/19.
RE235,.R-GOMA B/ESTAB R19 (CENTRAL)
RE2350,.R-POLEA TENS. C/MULT MG1/SYM/CL2/SC2(1.
RE2351,R-FARO DEL.IZQ R19 F1
RE2352,R-F.AIRE TW2 16V
RE2356,R-G/FANGO. DEL.IZQ R19-ENERGY
RE2358,R-CONDUCTO B.AGUA CL1
RE2359,.R-BOBINA ENC. CLIO,TW. 1.2. INYECC
RE2360,R-KIT CARB R5(1.1)
RE2362,R-KIT EMB R18(2.0)/FGO/R21
RE2363,R-GOMA PEDAL FRE LOGAN
RE2365,.R-F.GAS R19/R21 INJEC.
RE2368,.R-MEMBRANA CARB R18-2000/FGO (C/VAST)
RE2369,.R-GOMA B/ESTAB R11/GALA (CENT/SUP/ALTA)
RE2371,R-DISCO EMB R18(1.6)
RE2374,.R-KIT DIST. TW 1.2 (8/V) 87/DTS
RE2375,R-TUERCA TERMINAL CAJETIN R12
RE2378,R-GUIA COLLARIN SYM/TW2/CL2/KG/LOG/MG1
RE2379,.R-COPA ARRANQ R11 T/BRONCO
RE2381,R-E.MOT MG2/LAG/SC2(2.0)
RE2385,"R-CEPILLO LPB 18"""
RE2387,R-PASADOR G/CLOCHE LARGO R-TODOS
RE2389,R-ESTOPERA CIG DEL  R11/12/TW SAV
RE2390,R-B.FRENO R19E/CL1
RE2391,"R-EMBLEMA ""INJECTION"""
RE2393,R-G/POLVO HORQ.CLOCH R11/GALA
RE2395,R-ANILLO STD R11/R18(1.4)
RE2397,R-G/POLVO CAJA DIR. MG1/SYM/CL2/SC2(1.6)
RE2398,R-CABLE BUJIAS SYM1/LOG/SAND/KG
RE2399,R-G/POLVO PAL.CAMBIO GALA
RE2400,R-KIT EMB R18(2.0)/FGO/R21(S/C)
RE2406,R-KIT GOMA TRIP. L/R R11/19/18/CL/TW/SY
RE2408,R-G/FANGO. DEL.IZQ R12
RE2409,R-G/FANGO. DEL.DER R12
RE2410,R-TAPA FRAS. AGUA. TW/LOG/MG
RE2411,R-MANGUERA REFRIG. R18/R19
RE2412,R-MANGUERA REFRIG. R18(1.6/2.0)
RE2422,.R-E.VENT MG/SYM/SC/CL2/KG/LOG GATES C/B
RE2425,R-CERRAD.MALETA TW 00/05 ELECT
RE2426,R-GOMA B/ESTAB PUNTA SYM/CL2/LOG/KG(1.4)
RE2428,R-MANILLA A/V R19/CL1/TW1
RE2430,R-AXIAL CIG 0.10 R19(1.7/1.8)
RE244,R-TAPA GAS R11
RE2440,.R-BOMBILLO FARO DEL. FGO,21,R18,TW,19,S
RE2453,R-MANILLA PTA.INT.IZQ MG1/SC(guaya)
RE2454,R-C.BIELA 0.20 MG1/LOG/SAND/CL2/SYM2
RE2460,.R-MOTOR L.P.B CL2/TW/MG AGUA
RE2461,R-CERRAD.MALETA.CL 2,MG,TW,19,SY,R/11
RE2465,R-E.VENT R5/18/FGO SOLO
RE2467,R-MANGUERA RAD SUP MG1/SC2(1.6)(siNcr)
RE2470,R-FRONTAL INT. CLIO 98
RE2472,R-MOZZO DEL R12/R18(1.4/1.6)
RE248,R-CERRAD.CAPO LOG
RE2480,R-MANGUERA RAD INF R19E
RE2481,R-MANILLA PTA.INT.MG 2,SCEN 2.
RE2482,R-MANILLA PTA.INT.IZQ MG2/SCEN2
RE2487,.R-BUJIAS (BOSCH) VW/R12 (W8BC)
RE2492,R-POMO PAL CAMB CL2/SYM(cromada)
RE2495,R-POMO PAL CAMB CLIO2/SYM
RE2496,R-PEDAL CLOC. R11/CL1/GALA
RE2499,R-DISCO FRE TRAS SC2(s/rol)
RE2500,R-E.MOT R18(1.6)
RE2501,R-MANILLA A/V CL2 98/05/MEG
RE2502,R-CIL.PTA R18-1.6/2.0 RO-2502 JGO
RE2504,R-E.CARTER R5/R11/R12/TW1
RE2506,.R-GOMA VARILLA C/CAMB R18-GTS/G
RE2512,.R-PLATO CLO. (LUK) CL/KG/MG/LG/GL 1.6/1
RE2517,R-MANILLA BUTACA MG/SYM (N)
RE2519,R-PALANCA LUCES MG1/SC2/CL2/SYM/LOG
RE2523,R-TUERCA ESPARRAGO R12(cromada)
RE2526,R-MANGUERA CARB-B.AGUA R11
RE2527,R-RESORTE SEL CAMB MG/SYM/LOG
RE2528,R-CHAPA GUANTERA. R/19,R/21.
RE2530,R-SUICHE SEGURO PTA MG2/SC(muestra)
RE2531,R-C.BANCO 0.60 R12
RE2532,R-E.CARTER R19E/CL1
RE2533,.R-BUJE CON BOLA PALANCA.CAMB
RE2535,.R-G/ACEL. SYMBOL.(91cm)
RE2536,R-PUNTA HOMOC LOG
RE2539,R-PARACHOQ. DEL MG1
RE2540,R-KIT GOMA/ESTOP.SELECT R/11/19/TWIN
RE2541,R-BASE MOT DER R19
RE2542,R-CONECTOR INYECTOR MG1/SYM2/CL2/SC2(1.6
RE2543,R-MANGUERA B.AGUA  CLIO 2
RE2546,R-CORREA ALT CL1/R19E
RE2547,R-TERMINAL DER. LAG
RE2548,R-CIL.MALETA R21-INY.
RE255,R-STOP DER GALA
RE2550,R-SERVO FRE R5-1300.
RE2551,R-SERVO FRE R18-2000/FGO
RE2556,.R-VALVULA TEMP. R19/R21(RELOJ)
RE2557,.R-RELE.A/A LUZ ALTA.LEVANTA VID
RE2559,R-ROL DEL R19/CL98/MG/SC/KG/SYM2/CL2/LOG
RE2560,R-PARRILLA R12 (G)
RE2562,.R-GOMA VALV(X16)TW2 16V
RE2564,R-ESPIRAL DEL LOGAN
RE2565,R-RACHE PEDAL EMB. R21 (GRANDE)
RE2566,R-COLECTOR BOMBA ACEITE. TWINGO II.
RE2567,R-C.BIELA 0.40 R18(2.0)/FGO
RE2569,R-FARO DEL.IZQ R21(iNy)
RE2570,R-FARO DEL.DER MG2(+07)
RE2579,R-BUJE LEVA R19(1.7)
RE258,R-STOP DER SC2
RE2585,R-GOMA PEDAL EMB/FRE SYM/CL2
RE2587,R-TAPA DEL.ALT. RENA
RE2594,R-POLEA TENS. C/MULT MG1/SYM/CL2/SC2(1.6
RE2600,R-CERRAD.PTA DEL IZQ R19.
RE2603,R-ESTOPERA 19X37X7
RE2606,.R-GOMA ABRAZAD.CAJA DIR.IZQ R19/CLIO
RE2611,R-SUICHE ENC R21
RE2612,R-FRONTAL R19E
RE2614,R-CAPO DEL R19E
